user_id,current_mrr_net,prev_mrr_net,mrr_status,current_plan_type_finance
58609557,0.0,10.0,churn,
121172038,0.0,10.0,churn,
58960105,0.0,17.0,churn,
215406078,0.0,5.0,churn,
1441633,0.0,17.0,churn,
67822021,0.0,20.0,churn,
116065898,0.0,20.0,churn,
97434157,0.0,20.0,churn,
59506845,0.0,20.0,churn,
240270978,0.0,40.0,churn,
69127521,0.0,200.0,churn,
189928010,0.0,380.0,churn,
153908014,0.0,442.84000000000003,churn,
195279950,0.0,115.0,churn,
234067890,0.0,25.0,churn,
28313127,0.0,61.0,churn,
35424225,0.0,35.0,churn,
144896034,0.0,113.25,churn,
21126991,0.0,90.0,churn,
152072458,0.0,360.0,churn,
53519913,0.0,465.0,churn,
1448529,0.0,285.0,churn,
234962214,0.0,230.0,churn,
41894541,0.0,516.95,churn,
184730006,0.0,20.0,churn,
88206385,0.0,334.0,churn,
140936093,0.0,814.0,churn,
27013871,0.0,20.0,churn,
58709917,0.0,20.0,churn,
57179585,0.0,500.0,churn,
52595325,0.0,533.0,churn,
40742573,0.0,620.0,churn,
96408377,0.0,20.0,churn,
62578401,0.0,20.0,churn,
49578565,0.0,20.0,churn,
231720038,0.0,620.0,churn,
122618626,0.0,749.0,churn,
69845077,0.0,685.0,churn,
144932218,0.0,520.0,churn,
18177747,0.0,442.0,churn,
225571758,0.0,410.0,churn,
108260682,0.0,544.0,churn,
139717537,0.0,662.0,churn,
98524021,0.0,534.0,churn,
145592650,0.0,109.95,churn,
50553441,0.0,885.0,churn,
165801458,0.0,815.0,churn,
201888714,0.0,744.0,churn,
3424758,0.0,450.0,churn,
146360134,0.0,692.75,churn,
167228486,0.0,450.0,churn,
130221034,0.0,649.0,churn,
181624390,0.0,815.0,churn,
32766410,0.0,473.0,churn,
198131618,0.0,450.0,churn,
57217317,0.0,450.0,churn,
95176169,0.0,450.0,churn,
73148894,0.0,660.0,churn,
166078950,0.0,534.0,churn,
241246334,0.0,450.0,churn,
186826270,0.0,815.0,churn,
121387578,0.0,717.0,churn,
29751979,0.0,473.0,churn,
82307122,0.0,468.0,churn,
20015347,0.0,525.0,churn,
3239674,0.0,900.0,churn,
204354790,0.0,780.0,churn,
135949590,0.0,765.0,churn,
163335486,0.0,982.0,churn,
52163561,0.0,672.0,churn,
898897,0.0,630.0,churn,
193301906,0.0,520.0,churn,
61360801,0.0,672.0,churn,
32595258,0.0,571.2,churn,
144329345,0.0,630.0,churn,
223505950,0.0,630.0,churn,
97434157,0.0,672.0,churn,
155054054,0.0,630.0,churn,
201425346,0.0,630.0,churn,
13361575,0.0,630.0,churn,
59895073,0.0,630.0,churn,
11516359,0.0,871.0,churn,
17994791,0.0,672.0,churn,
46043173,0.0,60.0,churn,
33278221,0.0,630.0,churn,
171346173,0.0,535.5,churn,
161723706,0.0,765.0,churn,
107781530,0.0,727.0,churn,
45932853,0.0,783.0,churn,
18590647,0.0,783.0,churn,
98407853,0.0,783.0,churn,
61909009,0.0,838.0,churn,
218950634,0.0,800.0,churn,
57242890,0.0,1054.0,churn,
28268639,0.0,800.0,churn,
137689305,0.0,800.0,churn,
184549294,0.0,1725.0,churn,
152392174,0.0,800.0,churn,
47539257,0.0,1003.0,churn,
67759733,0.0,852.55,churn,
41669593,0.0,1393.0,churn,
26252679,0.0,1150.0,churn,
61917105,0.0,1150.0,churn,
63440409,0.0,1260.0,churn,
133156358,0.0,1480.0,churn,
79694278,0.0,1150.0,churn,
386477,0.0,1222.3000000000002,churn,
161759970,0.0,1150.0,churn,
130203662,0.0,1435.0,churn,
84417805,0.0,1435.0,churn,
26241859,0.0,1378.0,churn,
24281795,0.0,1418.0,churn,
30680635,0.0,1600.0,churn,
245797406,0.0,2422.5,churn,
49685993,0.0,1625.0,churn,
171009921,0.0,1800.0,churn,
7784057,0.0,810.0,churn,
174242653,0.0,7200.0,churn,
211656506,0.0,1800.0,churn,
10992067,0.0,450.0,churn,
46810405,0.0,1003.6525,churn,
87065541,0.0,1080.0,churn,
192486350,0.0,1950.0,churn,
55445393,0.0,2230.0,churn,
13019203,0.0,360.0,churn,
250120319,0.0,500.0,churn,
27030851,0.0,2750.0,churn,
154775722,0.0,1350.0,churn,
5684870,0.0,3249.95,churn,
224051762,0.0,750.0,churn,
54523389,0.0,486.0,churn,
213299694,0.0,1650.0,churn,
23344135,0.0,713.95,churn,
54195353,0.0,1193.9,churn,
4757165,0.0,140.0,nrr,
92515901,0.0,29.75,nrr,
3503414,0.0,100.0,nrr,
