user_id,email_creates_30d,email_publishes_30d,email_tests_30d,total_builder_events_30d
13306575,40,34,0,74
16322507,44,39,0,83
12325107,138,85,38,261
2667750,39,35,0,74
3538254,44,38,1,83
9423541,48,38,0,86
13761271,39,39,0,78
2543658,48,41,0,89
2428794,47,40,4,91
16791011,58,42,4,104
17896427,44,43,0,87
3187330,61,40,10,111
21538875,43,41,0,84
1059837,53,45,2,100
23511631,56,41,4,101
88613,87,44,2,133
9318469,88,37,46,171
31783663,88,44,17,149
24482583,72,46,0,118
9310293,69,57,0,126
8554293,59,45,0,104
32831830,51,18,0,69
10621387,57,46,1,104
18706443,47,26,0,73
33521413,66,48,3,117
4736934,53,47,0,100
20319028,68,52,0,120
17275767,66,55,3,124
8543125,65,60,0,125
24642179,75,56,0,131
2605158,63,57,0,120
7514109,58,38,2,98
6090210,84,62,5,151
16195251,59,61,0,120
33214625,63,26,7,96
1566897,62,60,0,122
21784616,61,59,0,120
33575253,58,58,0,116
26004583,84,60,7,151
31999099,66,62,1,129
14764375,79,60,0,139
22018464,72,64,0,136
108344,66,61,0,127
33006758,62,46,7,115
13031539,89,64,0,153
23782851,63,24,0,87
34564329,69,64,0,133
32080790,113,70,0,183
7562721,80,68,9,157
12658287,134,68,0,202
17264899,73,76,0,149
8272345,91,71,0,162
516901,128,75,46,249
25808199,116,77,1,194
1291497,91,85,0,176
9659209,105,104,8,217
9177165,97,88,0,185
32844654,132,96,9,237
20865931,134,102,2,238
89248,114,96,0,210
8440057,110,101,0,211
20928355,160,105,0,265
999229,161,106,1,268
6684710,164,112,0,276
27684107,120,120,0,240
32789834,156,128,1,285
4052218,128,26,50,204
10749283,156,149,0,305
28854267,170,148,0,318
22072055,220,153,0,373
11073843,223,159,3,385
21516763,157,155,0,312
22815183,156,99,0,255
31218831,181,163,0,344
23128803,195,182,1,378
6470322,205,204,0,409
21183499,212,212,0,424
22025132,269,329,0,598
2851886,339,76,0,415
32127514,377,360,8,745
1905513,3012,387,558,3957
32026159,1371,522,45,1938
6631570,665,551,14,1230
8847625,1981,1575,32,3588
251029475,3,0,1,4
247632064,23,16,3,42
248218694,79,69,0,148
213019458,3,2,0,5
188195790,3,4,0,7
238000654,4,5,0,9
184115554,6,7,0,13
205043402,39,18,10,67
210390866,10,12,0,22
183582734,10,8,0,18
190439942,14,10,0,24
190097754,16,13,0,29
233538002,16,13,0,29
230325706,19,17,0,36
191652210,31,22,0,53
186199250,32,23,0,55
213743310,34,30,0,64
196247238,36,25,0,61
203852890,43,38,0,81
222528074,74,60,2,136
198464830,77,55,1,133
190270422,106,79,0,185
247142286,187,95,1,283
195243278,2287,1325,857,4469
214399582,1378,1281,4,2663
235966538,2485,2261,1,4747
30020075,2,2,0,4
19652179,2,2,0,4
25342003,1,2,0,3
15769771,3,1,0,4
33784109,6,5,1,12
25227051,3,3,0,6
34543217,3,3,0,6
14815087,4,4,0,8
13242811,8,4,0,12
32799610,5,2,0,7
18740067,5,4,0,9
29130363,8,5,1,14
324037,4,5,0,9
20023735,5,6,0,11
34427545,8,5,0,13
10649983,12,8,0,20
20936575,8,8,0,16
12703975,12,8,0,20
30573,9,7,0,16
7939577,7,8,0,15
7303729,8,9,0,17
18046467,13,9,0,22
8464561,10,10,0,20
33094170,11,11,0,22
30361115,11,9,0,20
23234731,13,11,1,25
33965137,13,11,0,24
25252279,15,12,1,28
10956467,12,12,0,24
24854031,22,13,0,35
23152595,16,14,0,30
122359,13,15,0,28
8841173,23,15,2,40
21681407,21,20,0,41
7163309,21,18,0,39
202817,19,9,0,28
2594170,26,23,1,50
93795281,2,2,0,4
89639189,3,3,0,6
49158785,8,4,0,12
57263309,5,4,0,9
88849289,6,6,0,12
48205549,6,5,0,11
56587621,4,5,0,9
37981821,4,5,0,9
48779381,7,6,0,13
49265374,6,6,0,12
68087993,7,7,0,14
64461825,7,7,0,14
97372209,6,7,0,13
33279997,10,9,0,19
76107466,10,5,0,15
51927037,9,3,7,19
53695153,35,9,2,46
