user_id,email_creates_90d,email_publishes_90d,email_tests_90d,ca_template_creates_90d,ai_content_creates_90d,sms_creates_90d,sms_publishes_90d,automation_creates_90d,automation_publishes_90d,builder_active_days_90d,total_builder_events_90d
36651361,31,26,0,0,0,0,0,0,0,31,57
5947206,258,164,34,0,0,0,0,0,0,63,456
24579735,39,20,0,0,0,0,0,0,0,37,59
32680314,42,41,0,0,0,0,0,0,0,25,83
8637229,44,35,0,0,0,0,0,0,0,33,79
4923270,46,30,1,0,0,0,0,0,0,30,77
43133893,101,37,0,0,0,0,0,0,0,52,138
40825241,88,50,4,0,0,0,0,0,0,49,142
7303729,83,56,2,0,0,0,0,0,0,45,141
17929747,47,45,0,0,0,0,0,0,0,28,92
42542797,75,50,0,0,0,0,0,0,0,52,125
39366465,56,34,0,0,0,0,0,0,0,42,90
19459883,61,55,0,0,0,0,0,0,0,64,116
18117059,92,90,0,0,0,0,0,0,0,90,182
24947175,111,97,0,0,0,0,0,0,0,86,208
13901819,159,130,1,0,4,0,0,0,0,75,290
42992097,154,143,0,0,0,0,0,0,0,82,297
32515134,108,99,0,0,0,0,0,0,0,35,207
516901,441,292,118,0,0,0,0,0,0,88,851
39295557,179,113,0,0,0,0,0,0,0,84,292
4129374,262,201,5,0,71,0,0,0,0,68,468
1156625,227,186,1,0,0,0,0,0,0,71,414
20908355,275,178,3,0,0,0,0,0,0,90,456
39011570,319,264,5,0,0,0,0,0,0,60,588
24973003,585,326,146,0,0,0,0,0,0,89,1057
2393898,398,341,0,0,0,0,0,0,0,88,739
999229,569,475,6,0,0,0,0,0,0,77,1050
38431213,948,565,366,0,0,0,0,0,0,91,1879
20411120,1306,1124,145,0,0,0,0,0,0,84,2575
5864222,12,11,0,0,0,0,0,0,0,23,23
4836842,29,27,0,0,0,0,0,0,0,37,56
4709402,62,52,0,0,0,0,0,0,0,59,114
6786818,64,62,1,0,0,0,0,0,0,42,127
214717,97,74,2,0,0,0,0,0,0,67,173
6966917,110,100,0,0,0,0,0,0,0,80,210
7470513,590,265,5,0,0,0,0,0,0,84,860
21756236,7,5,0,0,0,0,0,0,0,5,12
30315371,6,4,0,0,0,0,0,0,0,3,10
19785719,14,10,1,0,0,0,0,0,0,23,25
15028547,29,21,0,0,0,0,0,0,0,29,50
1082569,27,28,0,0,0,0,0,0,0,34,55
1773909,39,25,0,0,0,0,0,0,0,32,64
17320972,67,42,3,0,0,0,0,0,0,42,112
14729419,86,73,0,0,0,0,0,0,0,56,159
7922681,125,69,2,0,0,0,0,0,0,56,196
17566047,165,92,38,0,0,0,0,0,0,81,295
19147643,104,97,1,0,0,0,0,0,0,80,202
7369253,222,94,94,0,10,0,0,0,0,67,410
24485127,171,130,0,0,0,0,0,0,0,86,301
20873051,242,216,0,0,0,0,0,0,0,76,458
13687631,263,225,0,0,0,0,0,0,0,88,488
3280678,408,313,18,0,0,0,0,0,0,91,739
5864082,632,575,43,0,0,0,0,0,0,91,1250
99849,47,36,3,0,0,0,0,0,0,36,86
1122121,18,18,0,0,0,0,0,0,0,20,36
1627833,33,25,0,0,0,0,0,0,0,16,58
66253,12,9,0,0,0,0,0,0,0,16,21
947653,62,54,0,0,0,0,0,0,0,49,116
533305,101,86,0,0,0,0,0,0,0,64,187
1366857,124,97,0,0,0,0,0,0,0,62,221
30357,239,192,4,0,0,0,0,0,0,72,435
3882214,5,1,0,0,0,0,0,0,0,4,6
4300442,22,13,1,0,0,0,0,0,0,22,36
8630513,45,29,11,0,0,0,0,0,0,42,85
4927770,50,24,2,0,0,0,0,0,0,28,76
1352645,26,15,0,0,0,0,0,0,0,28,41
2509454,129,71,45,1,0,0,0,0,0,68,245
7942193,50,28,9,0,0,0,0,0,0,37,87
7840013,90,66,0,0,0,0,0,0,0,52,156
2627118,104,67,0,0,0,0,0,0,0,69,171
398161,124,81,0,0,0,0,0,0,0,50,205
140148,135,117,2,0,0,0,0,0,0,62,254
9048757,253,195,4,0,0,0,0,0,0,59,452
3604298,351,320,5,0,0,0,0,0,0,90,676
248403653,15,8,0,0,0,0,0,0,0,17,23
193726594,30,28,0,0,0,0,0,0,0,30,58
223269706,90,54,2,0,0,0,0,0,0,51,146
200778362,195,108,0,0,0,0,0,0,0,89,303
234577766,28,21,0,0,0,0,0,0,0,22,49
220987554,19,18,0,0,0,0,0,0,0,29,37
209969098,139,73,20,0,0,0,0,0,0,62,232
234171598,133,66,4,0,0,0,0,0,0,57,203
245107950,261,218,1,0,0,0,0,0,0,76,480
228933498,4,3,0,0,0,0,0,0,0,3,7
235565186,4,4,0,0,0,0,0,0,0,7,8
219926758,26,6,4,0,0,0,0,0,0,14,36
243193010,19,12,0,0,0,0,0,0,0,17,31
209501434,20,14,0,0,0,0,0,0,0,19,34
232082522,27,17,1,0,0,0,0,0,0,24,45
222804770,28,24,0,28,4,0,0,0,0,24,52
237226470,25,20,0,0,0,0,0,0,0,27,45
232117278,26,24,0,0,0,0,0,0,0,30,50
225355966,38,29,0,0,0,0,0,0,0,39,67
211386610,39,26,2,0,0,0,0,0,0,34,67
238409370,284,288,50,0,0,0,0,0,0,71,622
232032446,73,51,2,0,0,0,0,0,0,38,126
233053534,59,29,1,0,0,0,0,0,0,44,89
242703038,72,56,7,0,2,0,0,0,0,47,135
233047418,73,67,0,0,0,0,0,0,0,54,140
218293474,115,73,7,0,0,0,0,0,0,54,195
217423298,155,140,1,0,0,0,0,0,0,55,296
217830382,179,165,1,0,0,0,0,0,0,65,345
225890510,272,191,0,0,0,0,0,0,0,83,463
237104578,217,212,0,0,0,0,0,0,0,66,429
248236384,8,4,0,0,0,0,0,0,0,6,12
248559000,6,5,0,0,0,0,0,0,0,7,11
245434658,91,39,15,0,0,0,0,0,0,43,145
244957766,1,1,0,0,0,0,0,0,0,2,2
248610623,7,4,0,0,4,0,0,0,0,5,11
237117878,12,11,0,0,0,0,0,0,0,11,23
244391810,8,5,0,0,0,0,0,0,0,10,13
238310566,19,15,0,0,0,0,0,0,0,24,34
236534926,29,16,10,0,0,0,0,0,0,20,55
233957074,25,21,0,0,0,0,0,0,0,21,46
230335038,60,36,0,0,0,0,0,0,0,46,96
236406922,44,37,2,0,0,0,0,0,0,47,83
229146554,51,41,0,0,0,0,0,0,0,38,92
229129838,145,95,1,0,0,0,0,0,0,67,241
229849970,102,33,42,0,0,0,0,0,0,34,177
247253743,172,91,4,0,0,0,0,0,0,63,267
245856894,91,64,0,0,0,0,0,0,0,58,155
228916458,68,51,0,0,0,0,0,0,0,54,119
199848134,80,73,1,0,12,0,0,0,0,45,154
195406254,111,75,0,0,0,0,0,0,0,36,186
248575064,4,3,0,0,0,0,0,0,0,4,7
248452650,37,20,0,0,0,0,0,0,0,21,57
224539550,14,12,2,1,0,0,0,0,0,13,28
232835890,10,10,0,0,0,0,0,0,0,10,20
