customer_count,total_mrr,avg_mrr,annualized_revenue,avg_completion_rate,avg_abandonment_rate,avg_friction_score,pct_high_friction,pct_creates_no_publish,avg_email_creates_90d,avg_email_publishes_90d,total_eligible_initiatives,dimension,value
35090.0,33419491.197221838,952.3935935372425,401033894.366662,0.6530729145432268,0.34692708545677325,0.14496918129014735,0.018808777429467086,0.018808777429467086,88.06280991735537,56.839783414078084,4.286320889142206,mrr_band,$300+
34766.0,32866221.780555174,945.3552833387555,394394661.3666621,0.6525996721606607,0.34740032783933933,0.14519898518854593,0.018926537421618823,0.018926537421618823,88.20741529080136,56.84300753609849,4.289276879710061,primary_plan_type,monthly
42522.0,30358786.91472184,713.9548213800348,364305442.97666204,0.6684063929748896,0.3315936070251104,0.14259228971282392,0.028432340905884014,0.028432340905884014,70.59616198673628,45.7446733455623,4.128427637458257,tenure_band,24mo+
24401.0,17430635.087222025,714.3410141888457,209167621.0466643,0.6537182796943061,0.3462817203056939,0.1520244294443545,0.03831810171714274,0.03831810171714274,66.77832875701816,43.13179787713618,4.044670300397525,country_group,United States
29992.0,17391999.227222033,579.8879443592302,208703990.7266644,0.6253742607808199,0.37462573921918,0.17150607056097153,0.06051613763670312,0.06051613763670312,61.27680714857295,40.54547879434516,4.002800746865831,ecomm_level,non
10053.0,12748929.449999988,1268.1716353327354,152987153.39999986,0.6628874198370058,0.33711258016299417,0.1413803946435325,0.018999303690440665,0.018999303690440665,114.40395901720879,80.18501939719486,4.718591465234258,package,premium_monthly_plan_v0
13211.0,12556849.576666273,950.4844127368309,150682194.91999528,0.6593749983295624,0.3406250016704376,0.14165458775469383,0.01665278934221482,0.01665278934221482,105.03277571720535,60.4165468170464,4.559912194383468,package,legacy monthly
17989.0,12222558.739583157,679.4462582457701,146670704.87499788,0.76187552201715,0.23812447798285002,0.09524979119314002,0.0,0.0,39.56573461559842,24.404636166546222,4.518650286286063,builder_maturity,high
14856.0,11569165.994999876,778.7537691841596,138829991.9399985,0.63750685860213,0.36249314139787003,0.1583857864460624,0.038166397415185786,0.038166397415185786,70.79853257942919,46.732498653742596,4.07788099084545,ecomm_level,ecomm
9949.0,11525911.038055418,1158.4994510056708,138310932.456665,0.7863417205201589,0.21365827947984103,0.08546331179193642,0.0,0.0,245.19780882500754,163.54980400040205,4.696250879485375,builder_maturity,power
11454.0,7105280.126666693,620.3317728886584,85263361.52000031,0.6155025808600948,0.38449741913990515,0.16671148729975468,0.03841452767592107,0.03841452767592107,43.93129037890693,30.662214073686048,3.570193818753274,package,standard_monthly_plan_v0
10647.0,4720915.804166591,443.4033816254899,56650989.64999909,0.7222975687356853,0.2777024312643147,0.11108097250572589,0.0,0.0,9.732506809429886,5.921949845026768,4.4582511505588425,builder_maturity,medium
